Unnamed: 0,0,city,year,vehicle,direction,variable
month,0.2739113268986182,chennai,2021,car,F,COUNT
day,0.0125318905521727,chennai,2021,car,F,COUNT
hour,0.1918055333781165,chennai,2021,car,F,COUNT
day_of_week,0.0299256437072665,chennai,2021,car,F,COUNT
week_of_year,0.1052194882840412,chennai,2021,car,F,COUNT
quarter,0.000485911275106,chennai,2021,car,F,COUNT
part_of_day,0.0003970138939298,chennai,2021,car,F,COUNT
FUNC_CLASS,0.0078061906623003,chennai,2021,car,F,COUNT
SPEED_CAT,0.0028233179743877,chennai,2021,car,F,COUNT
LANE_CAT,0.0042881768172731,chennai,2021,car,F,COUNT
mean_variable_annual,0.5952431009371938,chennai,2021,car,F,MEAN
month,0.0171250874792118,chennai,2021,car,F,MEAN
day,0.0074044735582363,chennai,2021,car,F,MEAN
hour,0.2260709248823979,chennai,2021,car,F,MEAN
day_of_week,0.0208595020732065,chennai,2021,car,F,MEAN
week_of_year,0.094917940730484,chennai,2021,car,F,MEAN
quarter,0.0011300025872989,chennai,2021,car,F,MEAN
part_of_day,0.009259713069146,chennai,2021,car,F,MEAN
FUNC_CLASS,0.0122565619245547,chennai,2021,car,F,MEAN
SPEED_CAT,0.0091996687612111,chennai,2021,car,F,MEAN
LANE_CAT,0.0065330239970585,chennai,2021,car,F,MEAN
mean_variable_annual,0.6016452288883044,chennai,2021,truck,F,COUNT
month,0.0347514517972087,chennai,2021,truck,F,COUNT
day,0.0142276057645466,chennai,2021,truck,F,COUNT
hour,0.1706062614879561,chennai,2021,truck,F,COUNT
day_of_week,0.0824035204692778,chennai,2021,truck,F,COUNT
week_of_year,0.0663747847255312,chennai,2021,truck,F,COUNT
quarter,0.0072664639774451,chennai,2021,truck,F,COUNT
part_of_day,0.0046733814335057,chennai,2021,truck,F,COUNT
FUNC_CLASS,0.0093343075177814,chennai,2021,truck,F,COUNT
SPEED_CAT,0.0026608624516423,chennai,2021,truck,F,COUNT
LANE_CAT,0.0060561314868002,chennai,2021,truck,F,COUNT
mean_variable_annual,0.6384878352450746,chennai,2021,truck,F,MEAN
month,0.0122117925727405,chennai,2021,truck,F,MEAN
day,0.0056866635120536,chennai,2021,truck,F,MEAN
hour,0.2247646205973923,chennai,2021,truck,F,MEAN
day_of_week,0.0259351368700722,chennai,2021,truck,F,MEAN
week_of_year,0.069440686434989,chennai,2021,truck,F,MEAN
quarter,0.0024789982893315,chennai,2021,truck,F,MEAN
part_of_day,0.0086233142467523,chennai,2021,truck,F,MEAN
FUNC_CLASS,0.0067535278625246,chennai,2021,truck,F,MEAN
SPEED_CAT,0.0042691726659278,chennai,2021,truck,F,MEAN
LANE_CAT,0.0013482517031411,chennai,2021,truck,F,MEAN
mean_variable_annual,0.3526831191860152,coimbatore,2021,car,F,COUNT
month,0.108429339033564,coimbatore,2021,car,F,COUNT
day,0.0226356011999561,coimbatore,2021,car,F,COUNT
hour,0.2102638915742456,coimbatore,2021,car,F,COUNT
day_of_week,0.0579642012024693,coimbatore,2021,car,F,COUNT
week_of_year,0.167186848579347,coimbatore,2021,car,F,COUNT
quarter,0.0141190498672467,coimbatore,2021,car,F,COUNT
part_of_day,0.0059496774789209,coimbatore,2021,car,F,COUNT
FUNC_CLASS,0.0288484330060217,coimbatore,2021,car,F,COUNT
SPEED_CAT,0.0125079016171873,coimbatore,2021,car,F,COUNT
LANE_CAT,0.0194119372550258,coimbatore,2021,car,F,COUNT
mean_variable_annual,0.5663830175045292,coimbatore,2021,car,F,MEAN
month,0.0114653023163138,coimbatore,2021,car,F,MEAN
day,0.006523031513383,coimbatore,2021,car,F,MEAN
hour,0.2598840576711269,coimbatore,2021,car,F,MEAN
day_of_week,0.0335459903577431,coimbatore,2021,car,F,MEAN
week_of_year,0.0684177869801917,coimbatore,2021,car,F,MEAN
quarter,0.002987281138274,coimbatore,2021,car,F,MEAN
part_of_day,0.0296545153011219,coimbatore,2021,car,F,MEAN
FUNC_CLASS,0.0105993411959959,coimbatore,2021,car,F,MEAN
SPEED_CAT,0.0057141666189689,coimbatore,2021,car,F,MEAN
LANE_CAT,0.0048255094023512,coimbatore,2021,car,F,MEAN
mean_variable_annual,0.4463807609623745,coimbatore,2021,truck,F,COUNT
month,0.0222868819756344,coimbatore,2021,truck,F,COUNT
day,0.0147571176421153,coimbatore,2021,truck,F,COUNT
hour,0.2572315797205657,coimbatore,2021,truck,F,COUNT
day_of_week,0.1057699840290667,coimbatore,2021,truck,F,COUNT
week_of_year,0.1096181049308925,coimbatore,2021,truck,F,COUNT
quarter,0.002909918485985,coimbatore,2021,truck,F,COUNT
part_of_day,0.0089855235922944,coimbatore,2021,truck,F,COUNT
FUNC_CLASS,0.0180991193933759,coimbatore,2021,truck,F,COUNT
SPEED_CAT,0.008475146329977,coimbatore,2021,truck,F,COUNT
LANE_CAT,0.0054858629377179,coimbatore,2021,truck,F,COUNT
mean_variable_annual,0.6066996735552234,coimbatore,2021,truck,F,MEAN
month,0.0114876192732959,coimbatore,2021,truck,F,MEAN
day,0.006145837900928,coimbatore,2021,truck,F,MEAN
hour,0.2442376994166639,coimbatore,2021,truck,F,MEAN
day_of_week,0.0313868268965203,coimbatore,2021,truck,F,MEAN
week_of_year,0.0682873524931872,coimbatore,2021,truck,F,MEAN
quarter,0.0037975524069785,coimbatore,2021,truck,F,MEAN
part_of_day,0.0107947265308701,coimbatore,2021,truck,F,MEAN
FUNC_CLASS,0.009187314498213,coimbatore,2021,truck,F,MEAN
SPEED_CAT,0.0046049705590725,coimbatore,2021,truck,F,MEAN
LANE_CAT,0.0033704264690469,coimbatore,2021,truck,F,MEAN
mean_variable_annual,0.4622684856876349,erode,2021,car,F,COUNT
month,0.0442724481080742,erode,2021,car,F,COUNT
day,0.0466916701360242,erode,2021,car,F,COUNT
hour,0.1568125948565193,erode,2021,car,F,COUNT
day_of_week,0.0467739025506134,erode,2021,car,F,COUNT
week_of_year,0.1880543863448443,erode,2021,car,F,COUNT
quarter,0.0035593746517191,erode,2021,car,F,COUNT
part_of_day,0.0022628087673262,erode,2021,car,F,COUNT
FUNC_CLASS,0.0233237795750204,erode,2021,car,F,COUNT
SPEED_CAT,0.0093822451324863,erode,2021,car,F,COUNT
LANE_CAT,0.0165983041897371,erode,2021,car,F,COUNT
mean_variable_annual,0.6277918939563184,erode,2021,car,F,MEAN
month,0.0198074945557002,erode,2021,car,F,MEAN
day,0.0105563601227372,erode,2021,car,F,MEAN
hour,0.2211309425153145,erode,2021,car,F,MEAN
day_of_week,0.0406272625207967,erode,2021,car,F,MEAN
week_of_year,0.0406225823838203,erode,2021,car,F,MEAN
quarter,0.0047728820540183,erode,2021,car,F,MEAN
part_of_day,0.0044988337137837,erode,2021,car,F,MEAN
FUNC_CLASS,0.0151283620041295,erode,2021,car,F,MEAN
SPEED_CAT,0.0065093135969039,erode,2021,car,F,MEAN
LANE_CAT,0.008554072576477,erode,2021,car,F,MEAN
mean_variable_annual,0.4361805987688294,erode,2021,truck,F,COUNT
month,0.0231406410251704,erode,2021,truck,F,COUNT
day,0.0200421440331392,erode,2021,truck,F,COUNT
hour,0.2060979027972707,erode,2021,truck,F,COUNT
day_of_week,0.1017024247951112,erode,2021,truck,F,COUNT
week_of_year,0.1316985874666908,erode,2021,truck,F,COUNT
quarter,0.0024142840756019,erode,2021,truck,F,COUNT
