city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,oe,vkt_public_transport
ludhiana,1871171,PUNJAB,31255959,17.171316736,190.9449793349397,3.322379441217537,42789300.425228655
madurai,1851760,TAMIL NADU,81532082,23.855816704,156.0307963044224,3.323579228523236,67572422.60815278
mangaluru,736688,KARNATAKA,70511891,6.147726848,143.0931038582743,3.5131656730162906,62780000.0
meerut,1733161,UTTAR PRADESH,232192037,6.931791872,190.6571867195905,3.3720629829294366,91797500.0
moradabad,1430782,UTTAR PRADESH,232192037,3.85441664,187.98990819466616,3.425303290327873,88330000.0
mumbai,14293546,MAHARASHTRA,126536129,235.313496064,516.9567219940238,3.4819968236186973,188218333.3333333
muzaffarpur,563018,BIHAR,125238091,1.265745536,33.972563180905155,3.3378438476070964,59711893.37872853
mysuru,1001421,KARNATAKA,70511891,10.574650368,90.98397248831792,3.260255033301345,86504999.99999999
nagpur,2649651,MAHARASHTRA,126536129,23.15874304,255.30159093657852,3.348890547243376,22265000.0
nalgonda,203225,TELANGANA,38968605,1.129096064,117.22624976102192,3.340811670427007,38726320.48861289
nashik,1867656,MAHARASHTRA,126536129,11.165231104,301.1933459461718,3.344504003194212,14600000.0
nellore,690486,ANDHRA PRADESH,53387780,3.984125184,168.14060712248622,3.3128227377355266,39339407.66723364
noida,1321650,UTTAR PRADESH,232192037,9.956035584,195.84619321266138,3.4609595500733974,50005000.0
panaji,120143,GOA,1551926,1.050416576,8.865925684559201,3.519931263288828,39283188.14010041
patiala,764662,PUNJAB,31255959,6.702062592,323.2335237634626,3.421260687721517,28973559.672062512
patna,2456695,BIHAR,125238091,5.831462912,121.76255234320857,3.2479121984588346,40911423.97934127
pune,4685469,MAHARASHTRA,126536129,62.11004416,294.43113239179735,3.3237832669734773,113758333.33333334
raipur,1246543,CHHATTISGARH,29680526,5.563660288,202.17585857333282,3.470914428646696,28632425.807831183
rajkot,1327869,GUJARAT,70846459,13.448361984,123.69724581181232,3.376916802817915,55074454.3021499
ranchi,1578790,JHARKHAND,39247441,4.840635392,208.46045177650993,3.383000494066376,25299467.059304744
rourkela,300430,ODISHA,46690946,0.804645248,64.08481257753441,3.213618149765648,43144365.59479082
sagar,388591,MADHYA PRADESH,84567635,1.415586304,41.3276941455307,3.531730864277133,52747134.63397202
sangli-miraj-kupwad,661229,MAHARASHTRA,126536129,4.947664896,116.64808034780073,3.2712945943722342,60220972.08206335
shilong,191737,MEGHALAYA,3646684,0.727427328,12.585902628517557,3.5727464748220834,38136672.17599121
shimla,208290,HIMACHAL PRADESH,7582996,2.04159424,38.34045879985825,3.573864380805388,39503499.83893855
shivamogga,419256,KARNATAKA,70511891,3.52292352,82.2083082505795,3.444522639243546,40271666.66666666
silchar,513169,ASSAM,35170839,2.07866624,86.63450349283467,3.4732965774249926,39102081.03725832
siliguri,320439,WEST BENGAL,100644486,1.245393664,47.01862314751855,3.2807154020976896,56327505.97570384
solapur,1120562,MAHARASHTRA,126536129,6.016082944,199.95183732035647,3.421555558949768,486666.66666666674
srinagar,1351715,JAMMU AND KASHMIR,18119323,13.150550016,335.32780117517245,3.5511322673752432,29995886.325467084
surat,4946274,GUJARAT,70846459,104.089288704,368.2739155539975,3.2669337748438347,156836084.364834
thiruvananthapuram,2178452,KERALA,42361297,19.028475904,219.37324152593192,3.5628814517375207,88695000.00000001
thoothukkudi,408570,TAMIL NADU,81532082,2.654692608,135.19676111282186,3.2047499918510773,48275656.20740275
tiruchirappalli,1153287,TAMIL NADU,81532082,10.610655232,159.17125381775023,3.3056040630121117,52236224.05922054
tiruppur,835750,TAMIL NADU,81532082,6.694953472,124.79109562647947,3.211231174872637,51116861.56133555
udaipur,526889,RAJASTHAN,80579763,2.018247936,74.57874697303745,3.4681418924025937,49341504.78783978
ujjain,606282,MADHYA PRADESH,84567635,1.571333376,181.05008234554595,3.4167887731801736,42007275.27889644
vadodara,1963378,GUJARAT,70846459,20.715317248,188.22218933475796,3.300936583126875,56586461.86269192
varanashi,1971210,UTTAR PRADESH,232192037,8.79833088,85.22344640136896,3.3149552063747163,59130000.0
vijaywada,1065140,ANDHRA PRADESH,53387780,7.8171392,67.34278477373344,3.296770260274663,47947427.94416767
vishakhapatnam,2188703,ANDHRA PRADESH,53387780,23.921035264,697.0344021677213,3.418801648203708,24710433.2710329
warangal,926825,TELANGANA,38968605,6.49259776,452.37099557688464,3.4487186244159163,20531258.921611663
