fc,co2_total,co2_total_ff,co2_congestion_total,year,city
3,45826.08641603553,42183.27869392434,3642.8077221111826,2021,ahmedabad
4,58546.58853092804,55018.72238821827,3527.866142709768,2021,ahmedabad
5,726290.3897278202,708739.4686965599,17550.921031260365,2021,ahmedabad
1,42445.408261433826,39710.38762054871,2735.0206408851154,2022,ahmedabad
2,57840.53729212288,53012.692417137914,4827.84487498496,2022,ahmedabad
3,60135.13736112454,54467.35713897216,5667.7802221523825,2022,ahmedabad
4,66712.95189608558,61501.173183832405,5211.778712253178,2022,ahmedabad
5,686172.6782887095,669490.8676601647,16681.81062854479,2022,ahmedabad
1,47986.94326278981,44946.13077501783,3040.8124877719824,2023,ahmedabad
2,68149.15000978523,62623.95279224785,5525.197217537377,2023,ahmedabad
3,73973.6217083443,67184.9966756434,6788.625032700901,2023,ahmedabad
4,80959.84655022038,74505.51889297093,6454.327657249456,2023,ahmedabad
5,831881.9064833818,811951.2947867262,19930.611696655484,2023,ahmedabad
1,1604.1318323902585,1498.2261930224445,105.90563936781409,2021,aizawl
3,685.5238178702882,644.7152495011568,40.808568369131436,2021,aizawl
4,3451.2742437963766,3295.0829087698394,156.19133502653736,2021,aizawl
5,23906.11312090387,23021.86545962035,884.2476612835189,2021,aizawl
1,1623.9476236182106,1536.6709625795722,87.27666103863852,2022,aizawl
3,649.1434604736716,618.019141506732,31.124318966939573,2022,aizawl
4,3545.5594229402755,3448.199941623681,97.35948131659502,2022,aizawl
5,23881.37737720049,23320.01360904982,561.3637681506679,2022,aizawl
1,2592.5124802949535,2436.148215004351,156.36426529060216,2023,aizawl
3,1004.3012111682058,953.1210758271358,51.18013534107006,2023,aizawl
4,5425.3610848951375,5216.865049484139,208.49603541099896,2023,aizawl
5,35543.726789653825,34413.8051552842,1129.9216343696241,2023,aizawl
1,612.7861756121872,540.1841483617436,72.60202725044354,2021,aligarh
2,1561.6414606417597,1333.9252235849704,227.71623705678942,2021,aligarh
3,2197.549531231387,1934.7457805585454,262.8037506728416,2021,aligarh
4,4119.825767837871,3665.7976622892484,454.02810554862276,2021,aligarh
5,61618.901487160554,58653.61245381301,2965.2890333475443,2021,aligarh
1,830.3196171252315,711.0491634616513,119.27045366358011,2022,aligarh
2,1794.9246249497255,1500.2116352292487,294.7129897204767,2022,aligarh
3,2937.6501661148236,2504.9384552951183,432.71171081970533,2022,aligarh
4,5244.549415582659,4591.078974320836,653.4704412618227,2022,aligarh
5,59397.61228528948,56705.1844114595,2692.4278738299777,2022,aligarh
1,1016.1828090816596,873.5335005837711,142.6493084978884,2023,aligarh
2,2564.047869960806,2126.6824556279907,437.3654143328155,2023,aligarh
3,3748.642698335247,3252.753482301781,495.88921603346586,2023,aligarh
4,5222.824149850376,4593.085326886086,629.7388229642903,2023,aligarh
5,70177.79839345292,66824.41898445999,3353.3794089929347,2023,aligarh
1,7170.100589170032,6302.5411174784385,867.5594716915938,2021,allahabad
2,770.3042043535404,667.1570981996538,103.14710615388663,2021,allahabad
3,6147.361755733856,5427.899639349905,719.4621163839508,2021,allahabad
4,12019.633287999277,10949.249860561853,1070.3834274374233,2021,allahabad
5,93013.06035660699,89623.99868076968,3389.0616758373067,2021,allahabad
1,9719.993270171895,8679.86991985206,1040.1233503198341,2022,allahabad
2,1122.4701289670927,1011.3212322614014,111.14889670569136,2022,allahabad
3,8328.002081301423,7433.738536334769,894.2635449666543,2022,allahabad
4,13911.62743036899,12690.233717701596,1221.3937126673932,2022,allahabad
5,80704.18311357443,77459.27733506389,3244.9057785105356,2022,allahabad
1,9312.412037918992,8273.259853010803,1039.152184908189,2023,allahabad
2,992.4644685154968,868.8066174370672,123.65785107842962,2023,allahabad
3,8908.769952706214,7818.410633054885,1090.3593196513289,2023,allahabad
4,15177.818429684805,13675.309606119135,1502.5088235656701,2023,allahabad
5,94437.0232633684,90556.4302317223,3880.593031646099,2023,allahabad
2,1092.1231846332346,1019.6066656441209,72.51651898911364,2021,alwar
3,1715.5291435604852,1569.614065463974,145.9150780965112,2021,alwar
4,1826.4065886265544,1630.7849617112693,195.62162691528513,2021,alwar
5,38819.81426114356,37777.21646315623,1042.5977979873383,2021,alwar
2,1191.6416833456697,1097.8955795203465,93.74610382532312,2022,alwar
3,1976.5893176356867,1786.4353494893408,190.15396814634587,2022,alwar
4,1969.6750424248917,1720.8345957759798,248.84044664891184,2022,alwar
5,36693.97104241313,35621.353320574555,1072.617721838573,2022,alwar
2,1107.524132916345,1017.8204477140038,89.70368520234129,2023,alwar
3,1905.021772339373,1725.5873964664333,179.43437587293948,2023,alwar
4,2056.2540750239054,1845.9755458413877,210.27852918251799,2023,alwar
5,42297.221722823124,41241.39797183457,1055.8237509885514,2023,alwar
1,2080.6144217286287,1936.5971964785656,144.01722525006315,2021,amravati
2,1682.706571165388,1598.1062420005878,84.60032916480009,2021,amravati
3,2553.3116749935493,2425.778172413142,127.53350258040747,2021,amravati
4,2387.654664902863,2271.5214335295336,116.13323137332951,2021,amravati
5,63657.41975502807,62156.03894188542,1501.380813142653,2021,amravati
1,3275.838173511901,3043.4510765304453,232.38709698145573,2022,amravati
2,2190.3837362635736,2040.4970058869537,149.8867303766201,2022,amravati
3,3084.126428265428,2865.644261086494,218.4821671789336,2022,amravati
4,2660.0606880902474,2491.0537615000862,169.00692659016093,2022,amravati
5,68615.0890254957,66975.88881602621,1639.2002094694972,2022,amravati
1,3710.1301838777367,3446.4976250030045,263.632558874732,2023,amravati
2,2864.129622335687,2678.8779947321727,185.25162760351427,2023,amravati
3,3758.523335645559,3509.7679063988394,248.7554292467198,2023,amravati
4,3289.9193114536383,3097.504586810265,192.41472464337306,2023,amravati
5,83040.97173008756,81260.16465414062,1780.80707594694,2023,amravati
1,7036.061655929895,6404.714564838361,631.3470910915338,2021,amritsar
2,2961.432474979914,2517.716703745966,443.71577123394786,2021,amritsar
3,8143.406824845982,7237.252187528556,906.1546373174261,2021,amritsar
4,7078.191253242543,6543.7338600528865,534.4573931896562,2021,amritsar
5,151734.7401507429,146436.84485543377,5297.895295309123,2021,amritsar
1,8029.023033696037,7140.430773414995,888.5922602810421,2022,amritsar
2,4106.6637652953905,3423.69371394153,682.9700513538601,2022,amritsar
3,9371.670318184502,8141.340469675184,1230.329848509318,2022,amritsar
4,6960.7281835518015,6304.387399983397,656.3407835684054,2022,amritsar
5,140491.55444275774,134896.14235078715,5595.412091970579,2022,amritsar
1,8647.254195442325,7778.143589110116,869.1106063322087,2023,amritsar
2,4080.8960480037376,3484.0937001027255,596.802347901012,2023,amritsar
3,10312.858965414141,8987.131610620394,1325.727354793747,2023,amritsar
4,8218.085004784987,7410.344358852837,807.7406459321508,2023,amritsar
5,171084.2361316677,164109.05478534516,6975.181346322531,2023,amritsar
1,1381.9101481711652,1273.2932847270147,108.61686344415072,2021,aurangabad
2,9400.273161898891,8544.179431619947,856.0937302789451,2021,aurangabad
3,4644.557927453194,4256.823175186358,387.7347522668354,2021,aurangabad
4,10841.083881772443,10086.692259476624,754.3916222958198,2021,aurangabad
5,127906.27624485221,124100.17229376629,3806.1039510859264,2021,aurangabad
1,2869.217040643356,2707.446444698737,161.77059594461878,2022,aurangabad
2,11621.755013237324,10430.616821817706,1191.1381914196174,2022,aurangabad
3,6200.383212430676,5591.752105319736,608.6311071109408,2022,aurangabad
4,12162.95503978403,11183.987255898026,978.9677838860049,2022,aurangabad
5,122614.24732588972,118988.56686601618,3625.680459873546,2022,aurangabad
