city,year,gini_bc,gini_co2_car,gini_co2_truck,gini_co2_total,gini_co2_total_congestion
kurnool,2023,0.8658595913071515,0.45727175592744,0.4416198132579985,0.4482180189697362,0.5615070278504383
faridabad,2021,0.9148664627874814,0.5174826864061266,0.5235754050312198,0.5160356786771825,0.6789622963051056
faridabad,2022,0.9148664627874814,0.5570715627410389,0.5519411538705298,0.553913544698473,0.7280420115170926
faridabad,2023,0.9148664627874814,0.5677672208038818,0.5067916999061303,0.5421174564196469,0.72122421723737
meerut,2021,0.8817142583837383,0.47123446532943797,0.4652576338942911,0.46351028770773245,0.5569621123141829
meerut,2022,0.8817142583837383,0.49171711861432016,0.4930066819641045,0.48754333082250667,0.6029868252639397
meerut,2023,0.8817142583837383,0.5181540865756391,0.4597501833714742,0.49097499325111993,0.6511418749414979
warangal,2021,0.900141050948353,0.505088346805656,0.5084006019522009,0.5019763725606127,0.542515308719564
warangal,2022,0.900141050948353,0.5062862657825342,0.4987354391659704,0.5023346194975401,0.5353500914835098
warangal,2023,0.900141050948353,0.5153260588367344,0.4983677270266822,0.5066539045735785,0.5420316757303884
bengaluru,2021,0.9417535041841666,0.4855749746561452,0.4678875715521539,0.47172281585888537,0.6105744602520128
bengaluru,2022,0.9417535041841666,0.5687101513410685,0.4842141475653245,0.5436794799242319,0.7515261384753074
bengaluru,2023,0.9417535041841666,0.7027746348900616,0.4826363991636987,0.6047016319076735,0.8078089160669116
hubli dharwad,2021,0.9294864485450878,0.4800757031116373,0.47154799226803723,0.4715957205387009,0.5505526125798983
hubli dharwad,2022,0.9294864485450878,0.4888642476183892,0.4693840769895859,0.47988225958995373,0.580495075898538
hubli dharwad,2023,0.9294864485450878,0.48713970507836957,0.4629038656824878,0.47395354670676876,0.5786767055791892
jhansi,2021,0.8844290325468771,0.5010654873553857,0.5444037889516632,0.5103834347197598,0.5821983627241518
jhansi,2022,0.8844290325468771,0.5135908198979182,0.5359287574168827,0.5142306464102423,0.6187564645307568
jhansi,2023,0.8844290325468771,0.5359906295787434,0.5237772447651937,0.5289973888637461,0.6094446716214627
raipur,2021,0.894192598043041,0.48244054008942516,0.4772502693532528,0.4764184843828266,0.5627293941893504
raipur,2022,0.894192598043041,0.513442427180733,0.4844497946515843,0.5035010659548331,0.6406388157151355
raipur,2023,0.894192598043041,0.5226832406212275,0.47058030790705285,0.4984469816232097,0.6326822892936109
rajkot,2021,0.8794165843350413,0.4628140320918168,0.44569893488986595,0.4534327180241699,0.5002073247386971
rajkot,2022,0.8794165843350413,0.47305583869178514,0.45703330546853643,0.4653338935697632,0.5670275948269956
rajkot,2023,0.8794165843350413,0.47842889284308554,0.4292660739292927,0.45502921986098477,0.597337818837825
tiruppur,2021,0.911610404808043,0.4731589262905169,0.4582358338651482,0.4620251556201777,0.4931772639684591
tiruppur,2022,0.911610404808043,0.47116573872234263,0.45735907023301886,0.4638591534318663,0.524794835667174
tiruppur,2023,0.911610404808043,0.5056088976191503,0.4591883503287285,0.48264829632891254,0.6758063396612279
shilong,2021,0.8571269538055011,0.493555109111895,0.4967797358020208,0.49185610222903503,0.5411986664504985
shilong,2022,0.8571269538055011,0.4887386129632473,0.5004136936851037,0.48897791872313934,0.5618353620425801
shilong,2023,0.8571269538055011,0.4869027229970407,0.49498225316427763,0.48549874606313814,0.5842944065751282
