city,year,vehicle,BC_TOTAL,BC_TOTAL_ff,CH4_TOTAL,CH4_TOTAL_ff,CO_TOTAL,CO_TOTAL_ff,N2O_TOTAL,N2O_TOTAL_ff,NH3_TOTAL,NH3_TOTAL_ff,NOX_TOTAL,NOX_TOTAL_ff,PB_TOTAL,PB_TOTAL_ff,PM_10_TOTAL,PM_10_TOTAL_ff,PM_2.5_TOTAL,PM_2.5_TOTAL_ff,VOC_TOTAL,VOC_TOTAL_ff,co2,co2_ff,mean_speed,vkt,weighted_speed,consumption,population_2020,urban_area_km2,gdp_billions,co2_congestion,lat,lon,co2_pc
shivamogga,2021,truck,12.262759342289543,11.972116127706142,3.404156940017732,3.404156940017732,300.81680232692634,292.06350792224146,4.297282966966685,4.297282966966685,1.233364513405696,1.233364513405696,1195.469541110822,1158.8261466905935,61.96295073826713,61.22459522179892,36.22263647941232,35.67636716366873,25.973967941897087,25.505565600337743,39.38187284791412,38.16797623372461,203817.6192763427,196388.4832487513,14.712261838251756,31914259.43200272,15.476692297673278,20930.519290272085,419256,82.2083082505795,3.52292352,7429.136027591419,13.9299,75.5681,0.486141210325774
shivamogga,2022,car,0.3592366776043845,0.3570455401247106,0.6705650322137146,0.6623319998703119,41.92948706800583,40.4163006280329,0.2570860473819074,0.2560262363557244,0.5926276718471928,0.5885685477341311,7.109187843449013,6.969685381892342,14.38695340223814,14.210003029166884,4.203186261998285,4.169327667184237,2.156155767887755,2.140976059527639,11.368736310018404,11.304085803770509,40485.91154284913,39204.02307413959,13.397267309107814,38410491.883358136,13.946157381187858,15194.190424637623,419256,82.2083082505795,3.52292352,1281.8884687095342,13.9299,75.5681,0.09656608740924191
shivamogga,2022,truck,15.459183061093231,15.036230115332533,4.245291350815296,4.245291350815296,380.1710872409124,367.4463795539932,5.359100221617438,5.359100221617438,1.5381170120600975,1.5381170120600975,1511.8942338225177,1458.623921064278,77.67514503681643,76.57982217517058,45.48210736262571,44.68361641605559,32.65869679970036,31.97569222996975,49.80852853913208,48.042754707920345,259029.5214728129,248652.6780207321,14.160352180080176,33596634.69870143,14.907853641507302,28150.80722086857,419256,82.2083082505795,3.52292352,10376.843452080822,13.9299,75.5681,0.6178314000820808
shivamogga,2023,car,0.4052598732992995,0.4030064509767094,0.755204061746965,0.7467588577954345,46.80548390380788,45.28607658994476,0.2901579762954742,0.2890708531198476,0.6683844195705733,0.6642206886911667,7.988853672509141,7.846345561810185,16.205110817522606,16.022966052155315,4.739401768129798,4.704556164847513,2.43183935671348,2.416219247611777,12.824071045794373,12.758267160963808,45281.25734908733,43993.291263868734,13.784658542793304,40480346.120813206,14.34379515730533,16736.96528256225,419256,82.2083082505795,3.52292352,1287.966085218599,13.9299,75.5681,0.10800383858331743
shivamogga,2023,truck,15.709165551787253,15.28478147293178,4.325135962857723,4.325135962857723,386.120030948622,373.3637460812755,5.459893133748039,5.459893133748039,1.5670456169437668,1.5670456169437668,1535.2977180798782,1481.8938111281598,78.99086866644075,77.87392327802267,46.25382569996618,45.44958770775338,33.2044924897855,32.517998428387514,50.57648339117829,48.805358636391695,263499.93282977067,253328.11225100383,14.405487935989104,33363877.96375645,15.200137496464858,28865.07577808007,419256,82.2083082505795,3.52292352,10171.82057876684,13.9299,75.5681,0.6284941249016607
silchar,2021,car,0.1283005870888711,0.1274920153595523,0.2420703953815743,0.2389792748352002,16.11282867756133,15.46526914236114,0.0915659148429636,0.0911680051176443,0.2120316107693775,0.2105075985436486,2.604216939185272,2.5504117920049185,5.186334134203817,5.12143455471578,1.505478445152253,1.49304347179493,0.7710985120582905,0.7655184902438485,4.065741796128321,4.040226006620568,15419.641207470491,14863.165927284395,10.473475378027247,15764205.370057603,11.970818536362986,7262.654447021543,513169,86.63450349283467,2.07866624,556.4752801860959,24.8273,92.7979,0.030047881316818615
silchar,2021,truck,3.5021062029247694,3.4316042025979026,0.9165530548374448,0.9165530548374448,87.05667691530624,84.92978489693225,1.1570229869759523,1.1570229869759523,0.332077525334129,0.332077525334129,347.2531121480279,338.3498678456858,17.14985202341649,16.976342896308786,10.122232192523926,9.99067343313433,7.313563164205057,7.200309757345849,11.441919808714596,11.147267241684885,60891.328965172994,58960.72627422497,11.073494595641597,17331464.432624042,12.662680912690808,7953.832445801357,513169,86.63450349283467,2.07866624,1930.6026909480208,24.8273,92.7979,0.11865745780663484
silchar,2022,car,0.1928729930555927,0.1913057093159908,0.360279020684085,0.3543488267128169,22.78455407366597,21.6327750122416,0.1380329949205823,0.1372696206623493,0.3182618243970573,0.3153380664984022,3.825745964912071,3.724151165263095,7.725680493222444,7.599421137159835,2.2567425406215564,2.232570381484108,1.1576306929112692,1.1467897062008388,6.108143033928311,6.06060832258613,21956.957308494268,20971.87798182086,12.792199650507598,17145361.871373415,14.298656415459863,8583.910135994814,513169,86.63450349283467,2.07866624,985.0793266734072,24.8273,92.7979,0.04278699085193039
silchar,2022,truck,5.495634848817563,5.359485169093065,1.4784421279348707,1.4784421279348707,135.77352499594414,131.67431537295525,1.866331160979731,1.866331160979731,0.5356562837286156,0.5356562837286156,540.6610202956224,523.5005963926342,27.32407198289445,26.97631110099651,16.04781832583564,15.791602312171218,11.55316588993477,11.333622356252516,17.81380391400665,17.245228550360977,93189.69179566482,89736.69014771529,12.72214343973971,19735789.36484436,14.270990365309997,10235.49752102779,513169,86.63450349283467,2.07866624,3453.001647949539,24.8273,92.7979,0.18159649510329895
silchar,2023,car,0.2052684810908253,0.2036194486771485,0.3831584282627491,0.3769862018870976,24.308398731657885,23.209793790474453,0.1469638188039973,0.1461692885147711,0.3387262394747288,0.3356831525697249,4.067384405432252,3.9634448673888376,8.213263272022925,8.079912151648303,2.4009105380250624,2.3754020033689174,1.231801339741503,1.2203674817863024,6.504371649061302,6.456464071093105,23402.299060993377,22450.733591111515,13.220047760498254,16150447.324059512,14.462214085790464,9468.084032956953,513169,86.63450349283467,2.07866624,951.5654698818616,24.8273,92.7979,0.04560349331505484
