city,population_2020,state,population_state,GDP_2020(billion USD),urban_area_km2,oe,vkt_public_transport,rho_r,rho_i,rho_ratio,road_length_km,year,BC_TOTAL,BC_TOTAL_ff,CH4_TOTAL,CH4_TOTAL_ff,CO_TOTAL,CO_TOTAL_ff,N2O_TOTAL,N2O_TOTAL_ff,NH3_TOTAL,NH3_TOTAL_ff,NOX_TOTAL,NOX_TOTAL_ff,PB_TOTAL,PB_TOTAL_ff,PM_10_TOTAL,PM_10_TOTAL_ff,PM_2.5_TOTAL,PM_2.5_TOTAL_ff,VOC_TOTAL,VOC_TOTAL_ff,aadt,co2,co2_ff,mean_speed,vkt,weighted_speed,co2_congestion,consumption,gini_bc,gini_co2_total_congestion,co2_pc,lat,lon
aizawl,369817,MIZORAM,1353442,2.378940928,102.4099542170358,3.576106787281274,31753721.886468567,6.90807976056403,22.605224440329863,0.3055966012989174,707.456132006994,2022,0.6645861395556777,0.6559362443694722,0.4882774085127307,0.4851354719884694,34.20338075083542,33.292787922575435,0.3001090082026434,0.2997045571045438,0.3641895393433989,0.3626404733643787,50.08038623167815,49.03608477308711,10.082853039252512,9.998083010629692,3.6385648011881306,3.6113956703582843,2.151258204401726,2.1330415314481357,7.615856880601352,7.556937119668503,217.9093518501354,29700.027884232648,28922.9036547598,24.356399815197022,65666408.69680688,26.95910188202143,777.1242294728472,9876.644986455578,1.7936903652686635,1.126480936230232,0.08031006655787226,23.7271,92.7176
aizawl,369817,MIZORAM,1353442,2.378940928,102.4099542170358,3.576106787281274,31753721.886468567,6.90807976056403,22.605224440329863,0.3055966012989174,707.456132006994,2023,1.1637564715874196,1.1441858304246995,0.7440442983600272,0.7378892503887842,52.620404199308965,50.81221723127407,0.5012797984239924,0.5004874794539553,0.5315890401333094,0.528554422680708,92.90550645314866,90.53066803198585,15.213685238538377,15.040011972404752,5.770037364996194,5.711721737882172,3.500993777687281,3.461015810536006,11.389568576461052,11.264069026241682,327.5810811572068,44565.90156601212,43019.93949559982,26.073762299609598,95436932.3351174,28.50287958429869,1545.9620704123024,12570.788909550442,1.7936903652686635,1.0969324169415338,0.1205079852089334,23.7271,92.7176
aligarh,1104851,UTTAR PRADESH,232192037,3.375762176,36.08918743686557,3.4748606647258526,83037500.0,29.60002033372193,364.901537975546,0.0811178283817087,1068.240681958723,2021,1.7982914946417943,1.7395972615989193,1.1480637637174402,1.1335009794364992,82.75912495062572,78.09555728524712,0.7685127045078596,0.7666380854478201,0.8177345081941318,0.8105546324979737,144.22996154208386,137.0458093346566,23.512901701631698,23.071775809886876,8.894286599717297,8.733238135775265,5.397869164950122,5.283395970730012,17.554636772281434,17.205731784773,308.51765951034776,70110.70442248376,66128.26526860752,25.71656185721251,145912257.38048708,26.651661307979452,3982.4391538762393,19709.44455426703,1.7383237266658347,0.9887890067071676,0.06345715795386324,27.8974,78.088
aligarh,1104851,UTTAR PRADESH,232192037,3.375762176,36.08918743686557,3.4748606647258526,83037500.0,29.60002033372193,364.901537975546,0.0811178283817087,1068.240681958723,2022,1.3234539073440934,1.2801168990928522,1.1732064888019533,1.1533903044572011,78.29973015459427,73.30579868896474,0.6411168673298668,0.6385659954530827,0.9263011691726041,0.91653121463488,89.84028475486886,84.68955297729316,24.566221297540757,24.050484422639983,8.371698886183902,8.21981944719188,4.784759233257327,4.68732603640256,18.89038298961118,18.572378076795516,357.94985848317265,70205.05610906192,66012.46263976635,26.623027416465142,169370220.46214518,27.527669470408462,4192.593469295562,20553.84460443065,1.7383237266658347,1.1209404046719922,0.0635425556107221,27.8974,78.088
aligarh,1104851,UTTAR PRADESH,232192037,3.375762176,36.08918743686557,3.4748606647258526,83037500.0,29.60002033372193,364.901537975546,0.0811178283817087,1068.240681958723,2023,1.9419158205773042,1.872361072756505,1.3788834653671198,1.3578825485454091,95.54726735130433,89.57517453098087,0.8609694397422132,0.8582660611716877,1.0257052391839188,1.0153511771188384,148.6443570766478,140.201828412922,28.50775930421784,27.90299720158712,10.398457298892376,10.19340354917466,6.1834127621793105,6.04219867613704,21.613299445762166,21.178064014114653,393.0381551349278,82729.49592068102,77670.47374985961,26.89253667516637,185621541.38656464,27.699999269934473,5059.022170821394,22754.869371734305,1.7383237266658347,1.1067075863143498,0.0748784188281325,27.8974,78.088
allahabad,1817716,UTTAR PRADESH,232192037,5.941533184,92.89870519706189,3.3631035126882245,71722500.0,18.81660874559341,193.58719760249988,0.0971996546188466,1748.0385886653385,2021,3.0395870754147047,2.952795241676295,1.9858133756362712,1.9608861639010038,140.02421139911996,132.79146169210273,1.3169654209730912,1.3137566234429565,1.4298200642938412,1.417530224778381,240.76348242146807,230.2146542644108,40.68845577309105,39.957702367108354,15.302314059354122,15.050597220157107,9.246451026199564,9.071870113778598,30.515873402889277,29.98137681587636,338.20591328837423,119120.4601938637,112970.84639635956,27.216682544683827,256887772.65132642,27.917943232466534,6149.613797504149,32426.248170480947,1.7517058021216168,1.06917128567788,0.06553304267215765,25.4358,81.8463
allahabad,1817716,UTTAR PRADESH,232192037,5.941533184,92.89870519706189,3.3631035126882245,71722500.0,18.81660874559341,193.58719760249988,0.0971996546188466,1748.0385886653385,2022,2.1674314271081427,2.110035199808774,1.9011728668351204,1.8704971056184112,127.15211708953225,119.45255893911944,1.046713568660952,1.042764779367045,1.4965506444125332,1.481426603008634,148.0505192486381,141.2857315539474,39.76703741006828,38.99918714980092,13.596701833756644,13.380791919961288,7.78574438378474,7.650913920403141,30.551419735492765,30.09534120754515,360.09938425837964,113786.27602438381,107274.44074121372,25.59765080129666,273507684.25360143,26.884519279059425,6511.83528317009,33815.46670002314,1.7517058021216168,1.1463670695205368,0.06259848954643289,25.4358,81.8463
allahabad,1817716,UTTAR PRADESH,232192037,5.941533184,92.89870519706189,3.3631035126882245,71722500.0,18.81660874559341,193.58719760249988,0.0971996546188466,1748.0385886653385,2023,3.1460709354356013,3.055553285688924,2.13349257846857,2.1018059172525794,150.8424336224306,141.81379321873408,1.3860337391241693,1.3819548200164924,1.5463368816768217,1.5307144372068562,245.46258445356665,234.53745672712012,43.736386148484726,42.86436801028775,16.23412231708287,15.952473036072352,9.744423999233586,9.55484724693306,32.72034584070803,32.11665686713278,362.34687572927396,128828.48815219391,121192.2169413442,26.051202348111595,277156077.01320034,27.22503170480698,7636.271210849714,37436.622797926044,1.7517058021216168,1.1284972526305688,0.07087382635801957,25.4358,81.8463
alwar,493909,RAJASTHAN,80579763,2.035854208,42.0783357176456,3.25456150940502,51018931.31865224,24.37307531228717,271.9214009978485,0.0896327954432686,1025.5784454618797,2021,1.1153944351665714,1.0948307136360849,0.7374013270261235,0.7306706924909943,50.88038301193662,49.16687153696297,0.4878744979503371,0.4870080856254478,0.5353651994618904,0.5320468011126309,87.603120680348,85.12535220973669,15.106029606252378,14.91220877327126,5.673099270073667,5.609890933862518,3.420231467626076,3.3774737470076728,11.390678098015876,11.260864694602455,215.1731055697175,43453.87317796385,41997.222155975585,29.701412680427094,96895959.05264777,30.12431482104291,1456.651021988251,11467.899574035513,1.7374187208512966,0.9767554618209654,0.08797951278062122,27.5529,76.6346
alwar,493909,RAJASTHAN,80579763,2.035854208,42.0783357176456,3.25456150940502,51018931.31865224,24.37307531228717,271.9214009978485,0.0896327954432686,1025.5784454618797,2022,0.8562638424005249,0.8396427015938012,0.7182654434327763,0.7093274489835353,47.04273980665539,45.151252953709694,0.4113523436129657,0.4102017851462718,0.5603986449579854,0.5559919540477527,59.59290844256645,57.65422582603174,14.940659217968317,14.70854114681474,5.198970690565204,5.1348020501077585,3.0011984256812054,2.961518596708916,11.47754733790311,11.350824450386707,229.22069012719868,41831.877085819375,40226.518845360224,30.01375510991516,102911845.35010587,30.564374426823882,1605.3582404591543,11688.131683761865,1.7374187208512966,1.0599388695920597,0.0846955149345717,27.5529,76.6346
